"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"diver2",30.4040759387396,28.4354662193779,36.8780020259192,15.6320302623315,38.7021955279681,46.1080886549716,12.6684325398607,26.5298774633013,29.4197710790587,-0.00931799450994974,0.129098332559018,0.780988559041003,0.988835539494147
"Dm88",127.122959602852,148.164208435494,112.260976755372,111.161104087691,157.946797965492,151.234530788307,132.113653629975,161.1444408882,137.643584019173,0.0391603447736042,0.128860548453296,0.433613951415046,0.988835539494147
"Doc",720.904520271929,761.311013593493,719.663363064629,493.277399389128,949.772798362029,825.027399666291,586.367448987836,872.538192126353,741.107766932711,0.0234354508070979,0.120374033661783,0.67680573798944,0.988835539494147
"Doc2-element",41.8774386593534,42.3858134393302,51.5207381244459,41.6854140328841,32.4261638207301,60.8626770245625,28.9564172339672,37.338346059461,42.1316260493418,0.00134421772016022,0.127111719996401,0.975138851998214,0.988835539494147
"Doc3-element",113.004306780873,88.6605636303092,104.126123367301,125.056242098652,109.830554876666,101.437795040937,97.7279081646393,66.8159876853513,100.832435205591,-0.0537408273997501,0.137002568548923,0.273740189528583,0.988835539494147
"Doc4-element",4.22909369378903,6.09992991115658,4.33858847363755,5.21067675411051,3.13801585361904,6.14774515399621,7.2391043084918,4.91294027098172,5.16451180247281,0.0103418466294,0.132691853789865,0.573214494383896,0.988835539494147
"F-element",190.494905964058,219.181396892525,240.249336727679,93.7921815739892,237.443199590507,294.476992876418,177.358055558049,185.709142243109,204.838151428292,0.0397390315843115,0.13040667951319,0.41232085773139,0.988835539494147
"FB",17.6503521561013,18.422394246402,15.7273832169361,22.5795992678122,14.6440739835555,17.828460946589,21.7173129254754,15.7214088671415,18.0363732012516,0.0047452426673841,0.129756550866135,0.879374935278097,0.988835539494147
"flea",970.791460489296,935.77785486483,752.20277661691,705.178254056289,1454.99335079469,979.335803031596,579.128344679344,1248.86941688355,953.284657677064,-0.00749299567544211,0.119510743169345,0.884479211572955,0.988835539494147
"frogger",2.18017353882433,1.47475805666372,2.71161779602347,1.73689225137017,2.09201056907936,2.45909806159848,0,1.96517610839269,1.82746579774403,-0.00436598401842511,0.133043226656232,0.69677414458278,0.988835539494147
"Fw2",10.2961423877518,15.5269533467242,11.3887947432986,6.94756900548068,12.5520634144762,12.2954903079924,12.6684325398607,21.6169371923196,12.911547867238,0.0238419764056243,0.133697270412628,0.399919866245974,0.988835539494147
"Fw3",2.09844129083997,3.0508409309475,1.08464711840939,5.21067675411051,0,5.53297063859659,3.6195521542459,0,2.57464111089373,0.00541311664290409,0.133184050385685,0.614287913238376,0.988835539494147
"G-element",27.9110017407369,34.738130538537,60.7402386309257,5.21067675411051,17.7820898371746,86.6832066713466,1.80977607712295,15.7214088671415,31.324566139637,0.00226336630609108,0.129667750084786,0.945515623245066,0.988835539494147
"G2",31.9810795188022,30.5054710468674,56.9439737164928,13.8951380109614,25.1041268289523,56.5592554167651,16.2879846941066,18.6691730297305,31.2432752828348,-0.00663355843087322,0.128623819472765,0.843309730627621,0.988835539494147
"G3",8.25810153479265,9.32114821149472,5.96555915125163,5.21067675411051,13.5980686990158,6.76251966939583,16.2879846941066,4.91294027098172,8.78962487314368,0.00137219764931001,0.131721903134867,0.941484639137189,0.988835539494147
"G4",77.9411632660881,77.8801155663786,47.7244732100131,118.108673093172,67.9903434950792,65.1660986323598,97.7279081646393,70.7463399021367,77.9106394162333,0.0108610469721004,0.125144503658769,0.803887605770461,0.988835539494147
"G5",19.7785764558585,22.051752659316,27.6585015194394,13.8951380109614,17.7820898371746,31.3535002853807,18.0977607712295,16.7039969213378,20.9151645575872,0.00871191416754001,0.129744961271576,0.786075671179085,0.988835539494147
"G5A",97.457232954227,81.5422271112488,73.2136804926337,135.477595606873,83.6804227631744,62.7070005707613,101.347460318885,80.5722204441002,89.499730032738,-0.0331123499564895,0.128578768515044,0.48439262601958,0.988835539494147
"G6",31.6892548716107,31.9139326210938,28.2008250786441,20.842707016442,46.0242325197459,41.8046670471742,12.6684325398607,41.2686982762464,31.8015937463522,-0.000379904459358065,0.128457363815013,0.989755470879665,0.989755470879665
"G7",0.348668428179893,0.808183530840857,0,0,1.04600528453968,0.614774515399621,1.80977607712295,0,0.578425979510375,0.00183855525543809,0.133328671777425,0.71053174070499,0.988835539494147
